ticker,model,horizon,RMSE,MAE,MAPE
AAPL,LSTM,1,6.466370988215203,6.466370988215203,5.620976127219776
AAPL,LSTM,3,5.656461804625377,5.568533453092954,4.824148016992636
AAPL,LSTM,7,7.8277372900334115,7.4216240280236105,6.632280121924963
AAPL,GRU,1,1.3881066602007195,1.3881066602007195,1.206629562894381
AAPL,GRU,3,1.1134324784702436,1.0935132607871008,0.946746068103569
AAPL,GRU,7,3.1114972249914086,2.523215584090264,2.275062386994344
AMZN,LSTM,1,1.3672409857827006,1.3672409857827006,0.85335225025952
AMZN,LSTM,3,4.069239691848618,3.371018555567389,2.0695969354049635
AMZN,LSTM,7,4.255026105193324,3.5540491546043347,2.2672841652875713
AMZN,GRU,1,3.590825693804163,3.590825693804163,2.2411844129609007
AMZN,GRU,3,5.305162976765192,4.9559942712333696,3.0530302394572937
AMZN,GRU,7,4.3536026048389935,3.8120901584188687,2.407131757938188
MSFT,LSTM,1,4.952056539498756,4.952056539498756,2.290180195784956
MSFT,LSTM,3,8.308611085023257,7.855850797374255,3.700243325257143
MSFT,LSTM,7,10.372394883343071,9.805856467349653,4.756913961369415
MSFT,GRU,1,0.917050607382464,0.917050607382464,0.42410887735390573
MSFT,GRU,3,4.5533991767153115,3.613132156033032,1.709853094098154
MSFT,GRU,7,6.0767552989235405,5.116999079862454,2.4904591433436556
TSLA,LSTM,1,9.0628219291209,9.0628219291209,6.463748302655606
TSLA,LSTM,3,8.275865727855306,8.21623008999442,5.846207540185752
TSLA,LSTM,7,11.484445756515159,11.035706859647819,8.147400977348852
TSLA,GRU,1,0.38091635149476133,0.38091635149476133,0.2716755818093029
TSLA,GRU,3,1.2551001470503858,0.8861156534830267,0.6271780868475174
TSLA,GRU,7,3.47619687749203,2.38145877649062,1.7859591224816649
GOOG,LSTM,1,3.759645787585228,3.759645787585228,4.582139729127873
GOOG,LSTM,3,2.2036088133804297,1.5572761907111925,1.907762820258457
GOOG,LSTM,7,2.6137654377513835,2.1712761438870336,2.734782984777001
GOOG,GRU,1,3.495028432797895,3.495028432797895,4.259632300797358
GOOG,GRU,3,2.033179512713141,1.3511838141263723,1.6534288969144204
GOOG,GRU,7,2.7820803004496506,2.207762929529963,2.7702662021110855
